원제목,저자명,원고지매수,작업일,비용
(ALA) The True Purpose of Money- What Catches the Eye Doesn’t Hold the Heart - LY - with adjustments,,38,2026/04/21,100000
(ALA) The True Purpose of Money-Money Adjusts the Aperture of Time (3),,34,2026/04/21,100000
(ALA) The True Purpose of Money-YEO.TOC.WIP_(2),,1,2026/04/21,100000
(Alice) You Are Home,,805,2026/04/02,100000
(대니홍-소설) 타임 애프터 타임(비번 lauper),,1627,2026/04/09,100000
(듀란킴) Moore-HTGRIAH_9780063464582-USEdition-HC-FinalPages,,1741,2026/03/25,100000
(듀란킴) Rifkin Rescuing the Future - MS - 5th edit 23.3.26_OJR edits_clean,,956,2026/04/01,100000
(시에나조)Depression_Cooking_txt_002,,780,2026/04/21,100000
(앨리스)_WISDOM OF THE ODYSSEY-GALLEY TEXT,,843,2026/04/02,100000
(임프리마) NEW La portalettere DEF Watermark (1),,1797,2026/04/09,100000
(임프리마) ShouldISaySomething_Bohns_Transmittal[61],,1011,2026/04/09,100000
(임프리마) もしもブッダがつぶれそうな会社の社長だったら_検討用,,483,2026/04/17,100000
0010.INT_Azzali_Il_gatto,,880,2026/04/22,100000
CAA_KOREA CATALOGUE,,272,2026/04/23,100000
CAA_updated version_260421,,306,2026/04/22,100000
CAA_updated version_260421_02,,306,2026/04/22,100000
CAA_updated version_260421_03,,307,2026/04/22,100000
CAA_updated version_260421_04,,287,2026/04/22,100000
David starr space ranger,,609,2026/03/30,100000
DHA_外資系金融ママがわが子へ伝えたい人生とお金の本質,,418,2026/04/07,100000
Envy_Kim_9781538776711_Transmittal (1),,857,2026/03/30,100000
Jodi Picoult's HOLLOW BONES as of January 2026,,2205,2026/03/30,100000
Lucky starr and the big sun mercury,,591,2026/03/30,100000
Lucky starr and the moons of jupiter,,589,2026/03/30,100000
Lucky starr and the oceans of venus,,588,2026/03/30,100000
Lucky starr and the pirates of the asteroids,,592,2026/03/30,100000
Lucky starr and the rings of saturn,,576,2026/03/30,100000
[EYA] 소설 DEEPCUTS,,1201,2026/04/16,100000
_2p_japan,,11,2026/04/13,100000
_David starr space ranger,,11,2026/04/10,100000
